Symbol,Security,GICS Sector,GICS Sub Industry,MC2.14,MC3.23,SP2.14,SP3.23,value_retention
USB,U.S. Bancorp,Financials,Diversified Banks,87128910000.0,45738330000.0,55.11,28.93,0.5249500998003992
UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",7752071160.0,3634769840.0,17.19,8.06,0.4688772542175684
UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",6967393800.0,3219882960.0,15.45,7.14,0.4621359223300971
UNP,Union Pacific Corp,Industrials,Railroads,129444000000.0,80227140000.0,184.0,114.04,0.6197826086956522
UAL,United Airlines Holdings,Industrials,Airlines,20587540000.0,6793500000.0,79.55,26.25,0.3299811439346323
UNH,United Health Group Inc.,Health Care,Managed Health Care,284139780000.0,185311860000.0,298.78,194.86,0.6521855545886607
UPS,United Parcel Service,Industrials,Air Freight & Logistics,91540800000.0,79401600000.0,105.95,91.9,0.8673902784332232
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,12131709260.0,5482703490.0,156.86,70.89,0.451931658804029
UTX,United Technologies,Industrials,Aerospace & Defense,132920913600.0,64918692000.0,153.46,74.95,0.4884008862244233
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,12420466660.0,6376662080.0,139.93,71.84,0.5133995569213178
UNM,Unum Group,Financials,Life & Health Insurance,6293964289.0,2176985982.0,30.01,10.38,0.34588470509830055
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",33124340400.0,18209280600.0,83.66,45.99,0.549725077695434
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,34130320000.0,13472060000.0,82.64,32.62,0.39472410454985474
VAR,Varian Medical Systems,Health Care,Health Care Equipment,13355028000.0,8163729000.0,146.92,89.81,0.6112850530901172
VTR,Ventas Inc,Real Estate,Health Care REITs,21867125750.0,8417471000.0,59.75,23.0,0.38493723849372385
VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,24836769410.0,17915610210.0,209.57,151.17,0.7213341604237248
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,28026628300.0,19817171300.0,171.38,121.18,0.7070836737075505
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,242114380000.0,208182780000.0,58.51,50.31,0.8598530165783628
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,62595420960.0,51912968880.0,243.82,202.21,0.8293413173652695
VIAC,ViacomCBS,Communication Services,Movies & Entertainment,21512700000.0,6937200000.0,34.98,11.28,0.32246998284734135
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,414061010000.0,267272060000.0,210.29,135.74,0.6454895620333826
VNO,Vornado Realty Trust,Real Estate,Office REITs,12953479890.0,5840418610.0,67.89,30.61,0.4508764177345706
VMC,Vulcan Materials,Materials,Construction Materials,19444131000.0,10851246000.0,146.97,82.02,0.5580730761379873
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,15165400000.0,8281760000.0,79.4,43.36,0.5460957178841309
WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,13137025000.0,7012665000.0,77.05,41.13,0.5338092147955873
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,335986500000.0,325698000000.0,117.89,114.28,0.9693782339468997
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,47110490000.0,38573045000.0,52.85,43.61,0.8251655629139073
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,251869700000.0,154796800000.0,139.54,85.76,0.6145907983373944
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,53393450000.0,37309602000.0,125.75,87.87,0.6987673956262426
WAT,Waters Corporation,Health Care,Health Care Distributors,14611489620.0,10979919720.0,216.06,162.36,0.7514579283532352
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,32129798000.0,22358706000.0,101.87,70.89,0.6958869146951997
WFC,Wells Fargo,Financials,Diversified Banks,211835282000.0,110925775000.0,48.22,25.25,0.5236416424720033
WELL,Welltower Inc.,Real Estate,Health Care REITs,35892795400.0,17476239050.0,89.32,43.49,0.4869010300044783
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",20636500000.0,10242260000.0,69.25,34.37,0.4963176895306859
WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,11220224000.0,7931980000.0,26.24,18.55,0.7069359756097562
WRK,WestRock,Materials,Paper Packaging,10464846000.0,6405942000.0,40.53,24.81,0.6121391561806069
WY,Weyerhaeuser,Real Estate,Specialized REITs,22869202020.0,10047232590.0,30.66,13.47,0.43933463796477495
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,9692592000.0,4090814000.0,152.16,64.22,0.422055730809674
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,26107276980.0,13514212550.0,21.54,11.15,0.5176415970287837
WLTW,Willis Towers Watson,Financials,Insurance Brokers,27777100000.0,19182800000.0,213.67,147.56,0.6905976505826743
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,14105284300.0,6145309650.0,132.14,57.57,0.4356742848494022
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,36464940000.0,25950000000.0,70.26,50.0,0.7116424708226586
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",8394867580.0,3575920590.0,37.82,16.11,0.425965097831835
XLNX,Xilinx,Information Technology,Semiconductors,22591732820.0,18039312000.0,90.17,72.0,0.7984917378285461
XYL,Xylem Inc.,Industrials,Industrial Machinery,15865200000.0,10195200000.0,88.14,56.64,0.6426140231449966
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,32215680000.0,17295120000.0,105.28,56.52,0.5368541033434651
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,12891431070.0,9217343520.0,238.77,170.72,0.7149976965280395
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,32898040000.0,16574131000.0,160.4,80.81,0.5038029925187032
ZION,Zions Bancorp,Financials,Regional Banks,8141019840.0,4237694720.0,46.26,24.08,0.5205361003026373
ZTS,Zoetis,Health Care,Pharmaceuticals,68931713760.0,44303340480.0,144.17,92.66,0.6427134632725255
